Contract Address,Risky Mutable Proxy,ERC-721 Re-entrancy,Unlimited Minting,Missing Requirements,Public Burn
0x2A4d04f4e882A2800B14352162193A5ff3047202,0,0,0,0,0
0x0740da260d98d408772b0f27ca58c2f369343804,0,0,0,0,0
0xe229ff7e2d2f72dc40017da86a42bf65b6627b0a,0,0,0,0,0
0x51f14fd46a191eff3398bfaae18c25dec63d11c4,0,0,0,0,0
0x890bf61c65d2150c0edd735b29ef163d80b7c6ee,0,0,0,0,0
0x4d61e9c42cc626004ded32d35cfecc3a618d0a93,0,0,0,0,0
0xd4ad6a35e03b45149ca9f9e380aff29cd69724d7,0,0,0,0,0
0x861e99329cd05dcff865141d8947b88d8271e909,0,0,0,0,0
0x4178887258e7254825417684600bc5970e9a42cd,0,0,0,0,0
0x3494aa0ccdA48f3a28886d4C7d644467E02be2Cc,0,0,0,0,0
0xd5692e2d9432d8aa933b2cc06cb2113705262850,0,0,0,0,0
0x5204Bb0e2665Ef2123C4d7fe3CA8eC92063244a7,0,0,0,0,0
0x502f74e016f856e94e9b53becbc963a851345937,0,0,0,0,0
0xB3Bc86fcF1BF1111FCE92348a132FB3621ba0d8A,0,0,0,0,0
0x84f3e0cdc068023639104d48d87097b0de142148,0,0,0,0,0
0x78e906422cfa58a7c91b0879b99afa66ccfb04db,0,0,0,0,0
0x789A7198d9e0eddA82b59e8dD9D2289b64987517,0,0,0,0,0
0xbd34c563572bfd3b35b27df957b809813b7a6ff8,0,0,0,0,0
0xE89c80a76A66f26f6149D270b88d3Bfc4eC07056,0,0,0,0,0
0x55153fd17ab1cdd32f4eb80e2db00b9f54b0aada,0,0,0,0,0
0x72263a0423867373abc83e71b9b551582d4ffefe,0,0,0,0,0
0x134b00bdbfada70be34f529cfa965c548cb41e3f,0,0,0,0,0
0x1394d5588066cC00821F5535c50902c4B14B6f5d,0,0,0,0,0
0xa25b5e7b10f369d44b0c6370d0314f281f0045d5,0,0,0,0,0
0x7f165473ffd7714e13d8f8fd936192866a113e36,0,0,0,0,0
0x2a080b57b30d533974424ad36290C4b75d81a72A,0,0,0,0,0
0xe1bda5742ddf6cb57cdd77a501e935f6f28cdc73,0,0,0,0,0
0x6e275d93e505b6bb1a8df36dba3549f5cc8bc8dc,0,0,0,0,0
0x88307fcd8a02a4e10dc53aa80f87f2fac4752ef2,0,0,0,0,0
0x7095372476d55c04afd2005e32d317d2eb540af9,0,0,0,0,0
0x76B3AF5F0f9B89CA5a4f9fe6C58421dbE567062d,0,0,0,0,0
0x7746B7eF168547B61890E6B7Ce2CC6a1FE40C872,0,0,0,0,0
0x098313a46d31fb1b7248e991497cc77bbd5bc655,0,0,0,0,0
0x769c27199c78cbede0f6e7655ec3f3d9507fd908,0,0,0,0,0
0xb32436074f42384f8dce45d77c466fa11cf8011f,0,0,0,0,0
0xc7dff8fae84e3ef27013c424198b136cdf1ed4ca,0,0,0,0,0
0x09a876c732b1cd68cbf39b420a9ba646b6570811,0,0,0,0,0
0xbec01e642fecb1bf395f415a9d37261be5090512,0,0,0,0,0
0xd66eb320b77e677ba76cc4ac8675c3bcfdd74213,0,0,0,0,0
0x97d8e9233eb3318a95f51553802c448fbdcb3edb,0,0,0,0,0
0x14b7dfd54f1517cc4b6b306342a26f8f1553ffa9,0,0,0,0,0
0x23e449da6e242d7b94c6d35806f2c5cc9b950ddb,0,0,0,0,0
0x981f0e5b8184db272eec5c545797cd53b1f52fdc,0,0,0,0,0
0x62551852d77485a86d9b0d45c5b92e6cc9edd2bb,0,0,0,0,0
0x4da0386ac64764991af3d57f73dbd6fa58847c5e,0,0,0,0,0
0xa411c5fbf61dde466ed9b1f0120058231aa0a509,0,0,0,0,0
0x107915aA58232bF3AABe75255518DD4E9aC6705C,0,0,0,0,0
0xeDF5D556975509303790f53bca834230C72f3F6E,0,0,0,0,0
0xcf411531c3fa050b6bacd5b0172aa0abb2db33ac,0,0,0,0,0
0x1fccbec2fc6eb512e57a3114601488474fb28277,0,0,0,0,0
0xcef4ccb03dbc7d87b388407e381a949be6d00e3b,0,0,0,0,0
0x5c325B9A935c2ad374BF236cDD647D44013FF2B4,0,0,0,0,0
0x6a55236c9c1816473c3554bed499f5cf9f68fa0a,0,0,0,0,0
0xc6e24ee5429b155493666aab107a47464870db5c,0,0,0,0,0
0x4CD493cA5005Ef5ab30B6c44465D0294e5b839E6,0,0,0,0,0
0x173f373963722de4207161aa152eff5e67b1e32e,0,0,0,0,0
0x8693f68a25fca28d1bd56a4c3147555b8d707bf8,0,0,0,0,0
0x509917d1647594de94ea0f07d9a79a2b74fba99d,0,0,0,0,0
0x0bd646b4313c8c41d905d7147b8c87f8f874a24d,0,0,0,0,0
0x9fa75437483feee97c1d92d916ab290465edf1c0,0,0,0,0,0
0xc0c5299f3f943d2acac1e047adc9ce4041889c20,0,0,0,0,0
0xe627c57626db2a40e8350b0ecd9db77f47640ecd,0,0,0,0,0
0xe18785fc1afa36e4ca9c1b9c40873250d55c3200,0,1,1,0,0
0xfe32108705cbd8a44e429aabfeabcafd372a4e06,0,0,0,0,0
0x1Fe7757686867842dAED160D68cDb0A2cAa74772,0,0,0,0,0
0x79cdee663e59159adc781d95b11a596297c6f464,0,0,0,0,0
0x8d89c6c80bd2a6eefd7053a0158c3144e3ed130f,0,0,0,0,0
0x245310aa6b383578bb62432f8e105ce897d4980a,0,0,0,0,0
0x7a15b36cb834aea88553de69077d3777460d73ac,0,0,0,0,0
0x0e3dbae95cc7b1e90bcc90aaac61c1b76bc34978,0,0,0,0,0
0xd1e1Bf85823602fe60b7937f3eb7FD7a8aBdb9E9,0,0,0,0,0
0x7775e7936fED555CF4F081E597A95447f29Edf81,0,0,0,0,0
0xcf0a5cb932039906dd410245317861182b5a85a9,0,0,0,0,0
0x373ffdf2a50003fb7e10282cf50e03921828e1a7,0,1,0,0,0
0x8de5eecc03c799fcbe2798ed5cb561f0d0acd4b8,0,0,0,0,0
0x39b780E8062CE299ab60ed3D48F447e97511a2eD,0,0,0,0,0
0x6ba9d9f061b36d44069db51b48ae87a6e066a532,0,0,0,0,0
0x202fC4bB5C7d11C78d5f9bfCBb9e0f51138e3e9e,0,0,0,0,0
0xc14ef4d75507534447190eeb5c0c182b3defa6a8,0,0,0,0,0
0xf59b041b93c7c0cd5b6258cf224c3c706f8857e8,0,0,0,0,0
0x6b6dfc1a98981cecdaa6309a82eb2fcb7cad188a,0,0,0,0,0
0x5dd07193a9409133acb09a789e9be2554fc1a365,0,0,0,0,0
0x53a585f97d95b01a3639a16f7a478b0b8d0500d6,0,0,0,0,0
0x1846637ef76bb7daddf2fe87004daddc8ed3d6d2,0,0,0,0,0
0x730A797Ba5FA016A68433f4f1DF4dAc3cb8b3DE5,0,0,0,0,0
0x93ff9325554fb25ea78c4b9513760f65cea1ff5c,0,0,0,0,0
0x93991c6DFcAc3d0f520868e5b21EA28dAcAa028d,0,0,0,0,0
0xdaad358a0572d26f16b941bd71b8db17ce402736,0,1,1,0,0
0x05ba417f7045205e87c2cb9743274f7ca8b6055c,0,0,0,0,0
0xa3f41f51886e039140715f213ba21c9fede8aa4f,0,0,0,0,0
0xc652C1800e28ADD44224F2eE0C94cAC5e9264e9C,0,0,0,0,0
0x17dd7a997befeb6bc992997feeccfc81c75face0,0,1,0,0,0
0x4E55a92694fE2dA1a2Aa4e447D709FdDf76241b4,0,0,0,0,0
0x4c989b872e96c37bc6fcb2f0fe5fdcabecc405a2,0,0,0,0,0
0xce0e395cf61d0f836ddd4fc021f009c93dfe3a63,0,0,0,0,0
0xc01515fc3170654f8496db74171db450711f0a0c,0,0,0,0,0
0x33603FB6168aAE87B27f34D668b73568cd80999D,0,0,0,0,0
0x1584aE89dE16249132a8E79f65601Ad72C2Ca6B6,0,0,1,0,0
0x76054459ec337ab00058b3df21361ac9df3d307d,0,0,0,0,0
0x805558649df5e891e80091ed9d789bfcf3a17240,0,0,0,0,0
0xb55a1e02de00b139ea9816524c0e0b7562fb88e5,0,0,0,0,0
0x276a6eed56918ed29b0589dc2b704afe12271231,0,0,0,0,0
0xb25d4724cac10827506b94023a04b83fd55c4766,0,0,0,0,0
0xd2cf3748b9e25d8080dbb335461679e762cc39ee,0,0,0,0,0
0x738368046203e6b4ffC8A2545AB3385E71F4b514,0,0,0,0,0
0x74922a2ec64c65b784e27bd16a9d415e52052867,0,0,0,0,0
0x6c7fb414e62f4d865b9b471c034b21485c88149d,0,0,0,0,0
0xe485b519f3b2a26dc0770b1d1c7390cd1cc06d00,0,0,0,0,0
0x3fa5c9b30f8103bd9570cefc0dc956252c2e482f,0,0,0,0,0
0x74D138e06a7f38261E74ebaf31278b3d46031a0b,0,0,0,0,0
0x1C695D1aA1110c2850F9dDd003Cc090733C87DC8,0,0,0,0,0
0x5dce0db8580bcc846eeefb10cc80503e2cb59206,0,0,0,0,0
0x9445e594374b1869a11c7d78eff120cf158bbd5a,0,0,0,0,0
0xaba85c7f1089a416eecab105e633cd30b51614ad,0,1,0,0,0
0x462EEbD8B4d3Ada6517cd9d3b34b2e44feB7DF2c,0,0,0,0,0
0xb565b40c0d0d8ec828449c95085f50de7c18ef4c,0,0,0,0,0
0x8f87ff8feb2b405653828e6b4607a4df87e9a883,0,0,0,0,0
0x6a505c8605e507aeD779261F3a202AdF7525F98C,0,0,0,0,0
0x89ee6eca3E180387977d88e24C83C632EC7A52d0,0,0,0,0,0
0x164313983571b6ed3c7390b4c383dbab672de55a,0,0,0,0,0
0x8eF20Cf0799e597dFe7942Bf66B7855D92Eb36C3,0,0,1,0,0
0xa16a609ff4e1a15b6ccb469e7a5dd14e89305283,0,0,0,0,0
0xf8c5f2bfc69433c9feced60c16ce0fc7c3468d5f,0,0,0,0,0
0xd36395d21102c8a28ec4dd1fcee0fc79e147ba4c,0,0,0,0,0
0xd9ab3ef50810812380c6afb7ea5f8369cc9c06bb,0,0,0,0,0
0xdeb10c050b2492d1e36ecaf984c58badd68ab87e,0,0,0,0,0
0x568629F281634724267AF5221528c5Cb776684A4,0,0,0,0,0
0xf9ca52918bdee125d122665bbb1496599ed338db,0,0,0,0,0
0x0f440351a61d2b5c30e80dd25384170fd4268179,0,0,0,0,0
0x62b997ea198a7704b8bc49f41afa1c043e6d4f74,0,0,0,0,0
0x2d7E10C13e934330af294e95539b0369282861F7,0,0,0,0,0
0x03acedd188132c05d04f72540a44898659aeeb6b,0,0,0,1,0
0xdb1ced09bfc0ac9599c7921c70e08965d4588a27,0,0,0,0,0
0x0f2dedc18b987fca9821cbbbabfaefb40b7564e3,0,0,0,0,0
0x9a431D4E9F8C903D14a28cbC4e9357931b83809e,0,0,0,0,0
0xa10bbb611ea2254c5b9925f186f0ea2fc944c614,0,1,0,0,0
0x2Cf8543C43c9Dffba364aD73Eb60f6C34172a3bd,0,0,0,0,0
0xa6026E0b30452c9494196E1164678C424D3C2E3b,0,0,0,0,0
0x92B3367515a7D2dF838c2ccD9F5e1Fc07D977C20,0,0,0,0,0
0x4300f2ade57c06c075783efdf0ddbc3c2a32490f,0,0,0,0,0
0xec57694F014e9a273fE3e37B2072DbF574e4A1e7,0,0,0,0,0
0x82c65bc8e9e01dab4c791f0d077eb1d3ad258b54,0,0,0,0,0
0x8E30C338E9158B8EeC67CD4373315bEdF8CBd8B0,0,0,0,0,0
0x7afe26879decbd48fa676543c4894687444ec086,0,0,0,0,0
0x7c75353b2745c2AEFeE15F54Ec453e41Fe8cE65C,0,0,0,0,0
0x289ede57bbcd0c5a790f7d57d9afa5ce49f22498,0,0,0,0,0
0x857dbabec4d11f44f8c01abad89067aa97fc042b,0,0,0,0,0
0x7d0434fe59b0891c3bf2b2ba33bcc4349e4bb71b,0,0,0,0,0
0x29aa44f57d500d5be3577e64188bdd18914fe445,0,0,0,0,0
